--------------------------------------------------
Marvellous Infosystem Process Log
Log file is created at : Wed Jun 18 08:55:58 2025
--------------------------------------------------
{'name': 'jusched.exe', 'pid': 16072, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 1.46484375} 
{'name': 'svchost.exe', 'pid': 16572, 'username': None, 'vms': 1.66015625} 
{'name': 'svchost.exe', 'pid': 16664, 'username': None, 'vms': 4.03125} 
{'name': 'svchost.exe', 'pid': 16736, 'username': None, 'vms': 6.02734375} 
{'name': 'svchost.exe', 'pid': 16924, 'username': None, 'vms': 2.125} 
{'name': 'svchost.exe', 'pid': 16960, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 3.6953125} 
{'name': 'WidgetService.exe', 'pid': 17084, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 4.9375} 
{'name': 'svchost.exe', 'pid': 17140, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 3.734375} 
{'name': 'Code.exe', 'pid': 17160, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 563.78515625} 
{'name': 'CrossDeviceService.exe', 'pid': 17204, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 35.96875} 
{'name': 'LockApp.exe', 'pid': 17240, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 53.46484375} 
{'name': 'svchost.exe', 'pid': 17280, 'username': None, 'vms': 1.8359375} 
{'name': 'PhoneExperienceHost.exe', 'pid': 17292, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 83.38671875} 
{'name': 'msedge.exe', 'pid': 17416, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 43.23828125} 
{'name': 'svchost.exe', 'pid': 17448, 'username': None, 'vms': 2.35546875} 
{'name': 'msedge.exe', 'pid': 17768, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 207.65234375} 
{'name': 'svchost.exe', 'pid': 17852, 'username': None, 'vms': 1.828125} 
{'name': 'msedgewebview2.exe', 'pid': 17956, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 13.21484375} 
{'name': 'python.exe', 'pid': 18004, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 13.56640625} 
{'name': 'AsusProArtHost.exe', 'pid': 18312, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 2.32421875} 
{'name': 'NisSrv.exe', 'pid': 18396, 'username': None, 'vms': 4.30078125} 
{'name': 'AsusOSD.exe', 'pid': 18664, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 3.171875} 
{'name': 'WhatsApp.exe', 'pid': 18704, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 67.31640625} 
{'name': 'MsMpEng.exe', 'pid': 18708, 'username': None, 'vms': 368.390625} 
{'name': 'RuntimeBroker.exe', 'pid': 18944, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 15.48046875} 
{'name': 'Code.exe', 'pid': 19008, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 92.7734375} 
{'name': 'AsusOLEDShifter.exe', 'pid': 19072, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 2.140625} 
{'name': 'Code.exe', 'pid': 19144, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 158.45703125} 
{'name': 'Widgets.exe', 'pid': 19248, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 12.56640625} 
{'name': 'WmiApSrv.exe', 'pid': 19668, 'username': None, 'vms': 2.703125} 
{'name': 'svchost.exe', 'pid': 19904, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 1.7578125} 
{'name': 'TiWorker.exe', 'pid': 19992, 'username': None, 'vms': 3.24609375} 
{'name': 'conhost.exe', 'pid': 20112, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 1.16015625} 
{'name': 'ApplicationFrameHost.exe', 'pid': 20132, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 63.0546875} 
{'name': 'RuntimeBroker.exe', 'pid': 20352, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 1.85546875} 
